Date,Open,High,Low,Close,Adj Close,Volume
1993-01-25,6.480000,6.500000,6.390000,6.390000,6.390000,0
1993-02-01,6.380000,6.460000,6.320000,6.320000,6.320000,0
1993-02-08,6.370000,6.410000,6.350000,6.350000,6.350000,0
1993-02-15,6.340000,6.340000,6.150000,6.150000,6.150000,0
1993-02-22,6.090000,6.090000,5.920000,6.030000,6.030000,0
1993-03-01,5.940000,5.950000,5.830000,5.900000,5.900000,0
1993-03-08,5.850000,6.110000,5.850000,6.110000,6.110000,0
1993-03-15,6.170000,6.170000,5.930000,5.950000,5.950000,0
1993-03-22,5.960000,6.090000,5.910000,6.090000,6.090000,0
1993-03-29,6.060000,6.160000,6.020000,6.160000,6.160000,0
1993-04-05,6.130000,6.130000,5.970000,5.970000,5.970000,0
1993-04-12,5.920000,5.930000,5.880000,5.890000,5.890000,0
1993-04-19,5.870000,5.890000,5.850000,5.890000,5.890000,0
1993-04-26,5.940000,6.050000,5.940000,6.050000,6.050000,0
1993-05-03,5.960000,5.960000,5.890000,5.920000,5.920000,0
1993-05-10,5.890000,6.030000,5.890000,6.030000,6.030000,0
1993-05-17,6.070000,6.160000,6.070000,6.160000,6.160000,0
1993-05-24,6.160000,6.170000,6.110000,6.160000,6.160000,0
1993-05-31,6.070000,6.110000,6.020000,6.110000,6.110000,0
1993-06-07,6.080000,6.090000,5.970000,5.970000,5.970000,0
1993-06-14,5.970000,5.970000,5.930000,5.970000,5.970000,0
1993-06-21,5.920000,5.920000,5.840000,5.840000,5.840000,0
1993-06-28,5.800000,5.800000,5.760000,5.760000,5.760000,0
1993-07-05,5.800000,5.800000,5.760000,5.760000,5.760000,0
1993-07-12,5.750000,5.780000,5.710000,5.710000,5.710000,0
1993-07-19,5.710000,5.950000,5.710000,5.950000,5.950000,0
1993-07-26,5.930000,5.930000,5.810000,5.830000,5.830000,0
1993-08-02,5.850000,5.870000,5.830000,5.860000,5.860000,0
1993-08-09,5.820000,5.820000,5.720000,5.720000,5.720000,0
1993-08-16,5.680000,5.700000,5.610000,5.610000,5.610000,0
1993-08-23,5.600000,5.600000,5.420000,5.480000,5.480000,0
1993-08-30,5.440000,5.460000,5.310000,5.310000,5.310000,0
1993-09-06,5.230000,5.350000,5.230000,5.290000,5.290000,0
1993-09-13,5.260000,5.390000,5.260000,5.380000,5.380000,0
1993-09-20,5.420000,5.470000,5.420000,5.420000,5.420000,0
1993-09-27,5.300000,5.400000,5.280000,5.340000,5.340000,0
1993-10-04,5.340000,5.350000,5.260000,5.260000,5.260000,0
1993-10-11,5.270000,5.270000,5.190000,5.190000,5.190000,0
1993-10-18,5.270000,5.420000,5.260000,5.420000,5.420000,0
1993-10-25,5.470000,5.470000,5.367000,5.388000,5.388000,0
1993-11-01,5.560000,5.753000,5.469000,5.728000,5.728000,0
1993-11-08,5.719000,5.791000,5.523000,5.643000,5.643000,0
1993-11-15,5.643000,5.834000,5.568000,5.829000,5.829000,0
1993-11-22,5.859000,5.877000,5.736000,5.749000,5.749000,0
1993-11-29,5.727000,5.847000,5.685000,5.783000,5.783000,0
1993-12-06,5.719000,5.744000,5.622000,5.694000,5.694000,0
1993-12-13,5.757000,5.813000,5.727000,5.774000,5.774000,0
1993-12-20,5.792000,5.847000,5.677000,5.681000,5.681000,0
1993-12-27,5.685000,5.813000,5.664000,5.783000,5.783000,0
1994-01-03,5.796000,5.900000,5.651000,5.655000,5.655000,0
1994-01-10,5.664000,5.758000,5.541000,5.728000,5.728000,0
1994-01-17,5.715000,5.732000,5.643000,5.677000,5.677000,0
1994-01-24,5.698000,5.749000,5.583000,5.617000,5.617000,0
1994-01-31,5.630000,5.893000,5.583000,5.888000,5.888000,0
1994-02-07,5.884000,5.972000,5.842000,5.871000,5.871000,0
1994-02-14,5.858000,6.107000,5.817000,6.077000,6.077000,0
1994-02-21,6.060000,6.211000,6.035000,6.193000,6.193000,0
1994-02-28,6.168000,6.425000,6.125000,6.363000,6.363000,0
1994-03-07,6.315000,6.528000,6.267000,6.452000,6.452000,0
1994-03-14,6.439000,6.514000,6.320000,6.479000,6.479000,0
1994-03-21,6.520000,6.596000,6.395000,6.592000,6.592000,0
1994-03-28,6.574000,6.852000,6.570000,6.774000,6.774000,0
1994-04-04,6.908000,7.176000,6.849000,6.933000,6.933000,0
1994-04-11,6.928000,7.004000,6.804000,6.948000,6.948000,0
